,description,created_at,text
15,ส่าตั้งใจเรียน! เน็ตอ.ก็เน่า เฮ้อ ! หลุดหายไปชาตินึงล่ะ! เสียเวลามาก! #เรียนออนไลน์,2009-11-06 08:26:16,ส่าตั้งใจเรียน  เน็ตอ ก็เน่า เฮ้อ   หลุดหายไปชาตินึงล่ะ  เสียเวลามาก 
16,#มหาวิทยาลัย #สถาบันการศึกษา #ครู #อาจารย์ #นักวิชาการ อย่างเราๆ ควรปรับหลักสูตร ผลิต #บัณฑิต มา #การศึกษา ไม่ช่วย… https://t.co/pO6Nb7BLYy,2009-11-26 07:57:30,อย่างเราๆ ควรปรับหลักสูตร ผลิต มา ไม่ช่วย…
17,โอ๊ยยยยยยยยสมองงงงง #เรียนออนไลน์ https://t.co/KQsljiAqr9,2010-01-20 11:19:37,โอ๊ยยยยยยยยสมองงงงง
18,บิดเบี้ยวกันไปหมดละประเทศนี้ สักพักนักข่าว ยูทูปเบอร์ คนใจบุญจะไปกันเต็มบ้านน้อง อารมณ์แบบลุงพลมาเลย #เรียนออนไลน์ https://t.co/wRCStX4P24,2010-03-17 08:09:41,บิดเบี้ยวกันไปหมดละประเทศนี้ สักพักนักข่าว ยูทูปเบอร์ คนใจบุญจะไปกันเต็มบ้านน้อง อารมณ์แบบลุงพลมาเลย
19,เห็นข่าวครูครีเอทการสอนออนไลน์ ยิ้มเบา ๆ กับเทคนิค #เรียนออนไลน์  #มุ้งมิ้งคงไม่ชอบ,2010-05-14 08:48:22,เห็นข่าวครูครีเอทการสอนออนไลน์ ยิ้มเบา ๆ กับเทคนิค
20,ชีวิตต้องเรียนรู้อยู่ตลอด อาจจ่ายค่าเรียนแพง-ถูก บ้างเป็นเรื่องปกติ แต่สิ่งหนึ่งที่ได้คือ เรารู้เพิ่มขึ้นแน่นอน… https://t.co/X5kFN0WSwe,2010-05-18 13:43:20,ชีวิตต้องเรียนรู้อยู่ตลอด อาจจ่ายค่าเรียนแพง ถูก บ้างเป็นเรื่องปกติ แต่สิ่งหนึ่งที่ได้คือ เรารู้เพิ่มขึ้นแน่นอน…
21,'ซูเปอร์โพล' เผยปชช. ร้อยละ 79.4 พอใจ 'หมอทวีศิลป์' ทำหน้าที่โฆษกศบค. เชื่อเรียนออนไลน์ห่างไกลโควิดฯ มากสุด รองลงมา… https://t.co/MQYWRAQxnq,2010-05-20 06:28:47, ซูเปอร์โพล  เผยปชช  ร้อยละ 79 4 พอใจ  หมอทวีศิลป์  ทำหน้าที่โฆษกศบค  เชื่อเรียนออนไลน์ห่างไกลโควิดฯ มากสุด รองลงมา…
22,คอมชั้นเจ๊งละ ทำบ้าไรไม่ได้เลยค่ะ แงงงง แจ้งไปแล้วว่าคอมพัง ทำไมมหาลัยไม่ให้ไอแพดหนูคะ ปัญหาหนูไม่สำคัญพอหรอคะ หนู… https://t.co/fDm7LVAc6W,2010-07-16 13:28:18,คอมชั้นเจ๊งละ ทำบ้าไรไม่ได้เลยค่ะ แงงงง แจ้งไปแล้วว่าคอมพัง ทำไมมหาลัยไม่ให้ไอแพดหนูคะ ปัญหาหนูไม่สำคัญพอหรอคะ หนู…
23,มึงงงง เค้าบอก มธจะกลับมาเรียนผสมแล้ว!!!!!!! ออนไลน์+ในคลาส อีดอกๆๆๆๆๆ #มธ #เรียนออนไลน์ หลัง1กุมภาจ้ะ!!!!!,2010-07-16 13:28:18,มึงงงง เค้าบอก มธจะกลับมาเรียนผสมแล้ว        ออนไลน์ ในคลาส อีดอกๆๆๆๆๆ หลัง1กุมภาจ้ะ     
24,อยากถามเด็กๆที่เรียนออนไลน์ว่าได้ความรู้มากกว่า เท่ากับ หรือน้อยกว่า เรียนในห้องเรียนปกติมั้ย? แล้วเด็กม.6ที่เตรียม… https://t.co/NjvkZg2PWu,2010-07-26 06:14:32,อยากถามเด็กๆที่เรียนออนไลน์ว่าได้ความรู้มากกว่า เท่ากับ หรือน้อยกว่า เรียนในห้องเรียนปกติมั้ย  แล้วเด็กม 6ที่เตรียม…
25,#เรียนออนไลน์ เป็นการแก้ปัญหาที่ห่วยแตกมาก ครูทำหน้าที่แค่ตัดต่อคลิป หาวิดีโอสื่อการสอนของคนอื่นมาตัดแปะ ส่วนตัวเอง… https://t.co/zZIOwiIuEV,2010-08-10 23:09:08,เป็นการแก้ปัญหาที่ห่วยแตกมาก ครูทำหน้าที่แค่ตัดต่อคลิป หาวิดีโอสื่อการสอนของคนอื่นมาตัดแปะ ส่วนตัวเอง…
26,มันผิดที่ระบบกลับหัวกลับหางไปหมดเช่นการเรียนภาษาที่ถูกตามหลักการเรียนรู้ของสมองต้องเป็นดังนี้คือฟังก่อนแล้วพูด พูดไ… https://t.co/fVpSvyMNlq,2010-09-14 04:49:39,มันผิดที่ระบบกลับหัวกลับหางไปหมดเช่นการเรียนภาษาที่ถูกตามหลักการเรียนรู้ของสมองต้องเป็นดังนี้คือฟังก่อนแล้วพูด พูดไ…
27,โอ้ยขำจนปอดโยก 55555 #เรียนออนไลน์ https://t.co/4SX44TG2dS,2010-10-19 03:46:34,โอ้ยขำจนปอดโยก 55555
28,"กลับสู่ภาวะปกติ ^^

ใช้เวลาหนึ่งคาบ ทบทวนสิ่งที่ #เรียนออนไลน์ ไปทั้งหมด จนเข้าใจ 
#เกรดเทอมนี้ดีแน่นอน
#คณิตครูเอก… https://t.co/qZKqYmzj45",2010-10-19 09:53:55,กลับสู่ภาวะปกติ ^^ ใช้เวลาหนึ่งคาบ ทบทวนสิ่งที่ ไปทั้งหมด จนเข้าใจ
29,"ช่วยรีด้วยนะคะ #dek64 #TCAS64
#swu #TCAS #การศึกษาไทย #สอบเทียบ #สอบTOEIC #GATPAT #gatpat64 https://t.co/dvzPDTm9kX",2010-10-27 07:41:23,ช่วยรีด้วยนะคะ
33,"รองโฆษก รัฐบาลเผย ครม.เห็นชอบโครงการ #พลังสิบ ปี 2564-2573 สนับสนุนนักเรียนด้านวิทยาศาตร์-คณิตศาสตร์ เพิ่มความสามารถในการแข่งขันของประเทศ
พัฒนานักเรียนระดับชั้นป.4 ถึง ม.6 ที่มีความสนใจพิเศษด้านวิทยาศาสตร์ คณิตศาสตร์  เทคโนโลยีและนวัตกรรมในทุกพื้นที่
#การศึกษา #การศึกษาไทย https://t.co/nKfopaRxZB",2010-12-15 04:24:10,รองโฆษก รัฐบาลเผย ครม เห็นชอบโครงการ ปี 2564 2573 สนับสนุนนักเรียนด้านวิทยาศาตร์ คณิตศาสตร์ เพิ่มความสามารถในการแข่งขันของประเทศ พัฒนานักเรียนระดับชั้นป 4 ถึง ม 6 ที่มีความสนใจพิเศษด้านวิทยาศาสตร์ คณิตศาสตร์ เทคโนโลยีและนวัตกรรมในทุกพื้นที่
32,ศธ.เตรียมดันมาตรการ ​โรงเรียนเอกชนสรุปค่าใช้จ่ายที่ไม่เกิดขึ้นเพราะการเรียนออนไลน์ทั้งเดือน ม.ค.นี้ คืนผู้ปกครอง ภา… https://t.co/BkQjVLMxvn,2010-12-15 04:24:10,ศธ เตรียมดันมาตรการ  โรงเรียนเอกชนสรุปค่าใช้จ่ายที่ไม่เกิดขึ้นเพราะการเรียนออนไลน์ทั้งเดือน ม ค นี้ คืนผู้ปกครอง ภา…
34,"“การเปิดเรียนของสถานศึกษา อาจจะเปิดไม่พร้อมกัน
ขึ้นอยู่กับพื้นที่ ถ้าเป็นพื้นที่สีเขียว อาจเปิดเรียนได้ก่อน”

พญ.อ… https://t.co/WcAErGYZBb",2010-12-15 04:24:10, การเปิดเรียนของสถานศึกษา อาจจะเปิดไม่พร้อมกัน ขึ้นอยู่กับพื้นที่ ถ้าเป็นพื้นที่สีเขียว อาจเปิดเรียนได้ก่อน  พญ อ…
30,"Super​ Poll​ เผยผลการสำรวจเรียนแบบไหน​เสี่ยงติดโควิดมากที่สุด
พบว่าส่วนมาก 47.8% ระบุเรียนที่สถาบันศึกษาแบบเดิมเสี่… https://t.co/cJicGNwUOf",2010-12-15 04:24:10,Super  Poll  เผยผลการสำรวจเรียนแบบไหน เสี่ยงติดโควิดมากที่สุด พบว่าส่วนมาก 47 8% ระบุเรียนที่สถาบันศึกษาแบบเดิมเสี่…
31,รองโฆษก รัฐบาลเผย ครม.เห็นชอบโครงการ #พลังสิบ ปี 2564-2573 สนับสนุนนักเรียนด้านวิทยาศาตร์-คณิตศาสตร์ เพิ่มความสามาร… https://t.co/jVAyaPF2qY,2010-12-15 04:24:10,รองโฆษก รัฐบาลเผย ครม เห็นชอบโครงการ ปี 2564 2573 สนับสนุนนักเรียนด้านวิทยาศาตร์ คณิตศาสตร์ เพิ่มความสามาร…
35,บางครั้งก็อยากถามครูที่เฆี่ยน ตี นักเรียนที่ทำผิดว่า เติบโตมาจากครอบครัวที่มีอาชีพ เลี้ยงวัว ควย หรือไงครับ? ถึงได้… https://t.co/WHotxjCof9,2011-01-08 18:53:47,บางครั้งก็อยากถามครูที่เฆี่ยน ตี นักเรียนที่ทำผิดว่า เติบโตมาจากครอบครัวที่มีอาชีพ เลี้ยงวัว ควย หรือไงครับ  ถึงได้…
36,มีใครสนใจมั้ย ถ้ามีเปิดติวONET วิทย์ม.6 ออนไลน์ ชม.ละ100 บาท (แค่1ชม.น้าา นี่ลดให้เบย) แต่รับแค่อาทิตย์ละ1คนนะคับบบ… https://t.co/wGtmu1ehju,2011-02-01 11:37:23,มีใครสนใจมั้ย ถ้ามีเปิดติวONET วิทย์ม 6 ออนไลน์ ชม ละ100 บาท  แค่1ชม น้าา นี่ลดให้เบย  แต่รับแค่อาทิตย์ละ1คนนะคับบบ…
37,น.ส. ภัคจิรา เรืองฉาย นิสิตปี 4 คณะรัฐศาสตร์ ภาคความสัมพันธ์ระหว่างประเทศ จุฬาฯ โพสต์ถึงการปรับจาก #เรียนออนไลน์ มา… https://t.co/pmdclDp6yl,2011-03-16 02:30:11,น ส  ภัคจิรา เรืองฉาย นิสิตปี 4 คณะรัฐศาสตร์ ภาคความสัมพันธ์ระหว่างประเทศ จุฬาฯ โพสต์ถึงการปรับจาก มา…
38,สวนกุหลาบยังไม่เปิดเรียน 1 ก.พ. !! ผอ.สวนกุหลาบวิทยาลัย สั่งปิดเรียนต่อถึง 5 ก.พ. โดยให้เรียนออนไลน์ เปิดเรียนอีกค… https://t.co/1jTygUXvEt,2011-03-16 02:30:11,สวนกุหลาบยังไม่เปิดเรียน 1 ก พ     ผอ สวนกุหลาบวิทยาลัย สั่งปิดเรียนต่อถึง 5 ก พ  โดยให้เรียนออนไลน์ เปิดเรียนอีกค…
39,กระทรวงศึกษาฯ ออกประกาศให้โรงเรียนรัฐ และเอกชน เปิดการเรียนการสอนปกติในวันที่ 1 ก.พ. แต่ให้ปิดการเรียนการสอนในจ.สมุ… https://t.co/hYrOs32Aax,2011-03-16 02:30:11,กระทรวงศึกษาฯ ออกประกาศให้โรงเรียนรัฐ และเอกชน เปิดการเรียนการสอนปกติในวันที่ 1 ก พ  แต่ให้ปิดการเรียนการสอนในจ สมุ…
40,"รัฐมนตรีฯ สั่งการเอง เร่งบริษัทติดตั้งเน็ต หลังพบนร.เยอรมัน นั่งเรียนกลางหิมะตก
#เรียนออนไลน์ 
https://t.co/7hIHi8Y2Qv",2011-03-16 02:30:11,รัฐมนตรีฯ สั่งการเอง เร่งบริษัทติดตั้งเน็ต หลังพบนร เยอรมัน นั่งเรียนกลางหิมะตก
41,ไม่รู้ว่าทำไม การเรียนวิชา พละในไทยมันถึงกลายเป็นวิชาที่เด็กไม่อยากเรียน หนึ่งแหละ กลัวโดนบลูลี่ ชอบโดนแกล้ง ดึงกาง… https://t.co/DY3sEaxmUH,2011-03-20 10:16:18,ไม่รู้ว่าทำไม การเรียนวิชา พละในไทยมันถึงกลายเป็นวิชาที่เด็กไม่อยากเรียน หนึ่งแหละ กลัวโดนบลูลี่ ชอบโดนแกล้ง ดึงกาง…
42,"เปิดเทอมรร.ต้องปรับตัวยังไง

https://t.co/jSjG16AbP3

#การศึกษา",2011-03-31 07:01:43,เปิดเทอมรร ต้องปรับตัวยังไง
43,"ไม่มีอุปสรรคใดจะมาขัดขวางการเรียนออนไลน์ แม้กระทั่งความหิว😆

#เรียนออนไลน์สไตล์เพชรพลอย 
#เรียนไม่เครียด… https://t.co/9GTvzakulf",2011-06-05 07:48:23,ไม่มีอุปสรรคใดจะมาขัดขวางการเรียนออนไลน์ แม้กระทั่งความหิว😆
44,"อยากฟังความเห็นเกี่ยวกับ #การศึกษาไทย จากมุมมองของ 5 กลุ่มคนเหล่านี้เพิ่มเป็นพิเศษค่ะ 
- ผู้ชาย
- สถานภาพสมรส (มีบุ… https://t.co/5eRdocmszt",2011-06-24 21:23:46,อยากฟังความเห็นเกี่ยวกับ จากมุมมองของ 5 กลุ่มคนเหล่านี้เพิ่มเป็นพิเศษค่ะ   ผู้ชาย   สถานภาพสมรส  มีบุ…
45,"มุแง้ รับบทนางขายเป็นอาชีพหลัก ครูเป็นงานอดิเรกนะค้าา ㅋㅋㅋ #รีวิวมีเฮแซม 
เดือนนี้เต็ม เดือนหน้ารับอีก2คอร์สพอแย้วน้… https://t.co/x4S9BvN7ok",2011-07-07 03:39:27,มุแง้ รับบทนางขายเป็นอาชีพหลัก ครูเป็นงานอดิเรกนะค้าา ㅋㅋㅋ เดือนนี้เต็ม เดือนหน้ารับอีก2คอร์สพอแย้วน้…
46,ไร้อุปกรณ์-เวลาไม่พร้อม!ปัญหาการศึกษาไทย เมื่อเด็กต้อง'เรียนออนไลน์'ยุคโควิด https://t.co/e3pvWOgoQ1 #isranews… https://t.co/VbujkgQOa4,2011-08-24 07:31:52,ไร้อุปกรณ์ เวลาไม่พร้อม ปัญหาการศึกษาไทย เมื่อเด็กต้อง เรียนออนไลน์ ยุคโควิด
47,แนะรัฐทำนโยบาย'โรงเรียนชนะ'เยียวยาการศึกษาเด็กไทย หลังถดถอยจากพิษโควิด https://t.co/BOsisd30r4 #isranews… https://t.co/XoGDCadqax,2011-08-24 07:31:52,แนะรัฐทำนโยบาย โรงเรียนชนะ เยียวยาการศึกษาเด็กไทย หลังถดถอยจากพิษโควิด
49,"กินอยู่อย่างประหยัด เวอร์ชั่น น้องจินต์ในอังกฤษ มาแล้วค่ะ 
 
วันนี้เราพาไปส่องซุปเปอร์มาร์เก็ตของอังกฤษ ที่ไหนแพง… https://t.co/FGtvFUrxdq",2011-09-01 21:10:27,กินอยู่อย่างประหยัด เวอร์ชั่น น้องจินต์ในอังกฤษ มาแล้วค่ะ วันนี้เราพาไปส่องซุปเปอร์มาร์เก็ตของอังกฤษ ที่ไหนแพง…
48,"How are you?  
I’m fine, thank you. And you?
 
ตอบแบบนี้คือบ้งไปแล้วจ้า มาดูวิธีตอบแบบอื่น ๆ ที่เวิร์คกว่านี้กันดีก… https://t.co/dNTOwj8wAT",2011-09-01 21:10:27,How are you  I’m fine   hank you  And you  ตอบแบบนี้คือบ้งไปแล้วจ้า มาดูวิธีตอบแบบอื่น ๆ ที่เวิร์คกว่านี้กันดีก…
51,ตอนนี้ม.กูบอกให่้จัดกานเรียนการสอนแบบผสมผสาน พ่อมึง เรียนหนังสือนะ ไม่ได้ทำอาหารที่มึงจะมาฟิวชั่นได้ แม่เย็ด 🤬  #เรียนออนไลน์,2011-09-21 11:59:59,ตอนนี้ม กูบอกให่้จัดกานเรียนการสอนแบบผสมผสาน พ่อมึง เรียนหนังสือนะ ไม่ได้ทำอาหารที่มึงจะมาฟิวชั่นได้ แม่เย็ด 🤬
50,ไอเหี้ยยย ไม่คิดว่าจะเจอกับตัว เรียนออนไลน์นัดชด แล้วรุ่นน้องต้องไปงานศพ ขอขาดที่ชด แม่งเสือกไม่ให้ โห เลว เกินไปปะ… https://t.co/JuIDdcoSn3,2011-09-21 11:59:59,ไอเหี้ยยย ไม่คิดว่าจะเจอกับตัว เรียนออนไลน์นัดชด แล้วรุ่นน้องต้องไปงานศพ ขอขาดที่ชด แม่งเสือกไม่ให้ โห เลว เกินไปปะ…
52,"มึงช่วยเปิดโรงเรียนแล้วให้น้องเค้าและเด็กทั่วประเทศไปเรียนที่โรงเรียนได้แล้วสัส!
#เรียนออนไลน์ https://t.co/t8sKTPYYLg",2011-10-06 07:08:15,มึงช่วยเปิดโรงเรียนแล้วให้น้องเค้าและเด็กทั่วประเทศไปเรียนที่โรงเรียนได้แล้วสัส 
53,"facebook: เวย์หา-ค้นหาตัวตนผ่านเกมชีวิต
#เรื่องจริง ของ #การศึกษาไทย https://t.co/brM4dTasU8",2011-10-18 04:33:00,facebook  เวย์หา ค้นหาตัวตนผ่านเกมชีวิต ของ
54,จะสอบแล้ว แต่อ่านไม่ทัน พี่มีคอร์ส #สรุปเคมี เร่ง รัดภายใน 3 ชม.💨 ด้วยนะคะ เข้ามาสอบถาม หรือมาปรึกษาแผนการเรียนการส… https://t.co/tRoacS4NRt,2011-11-02 03:36:39,จะสอบแล้ว แต่อ่านไม่ทัน พี่มีคอร์ส เร่ง รัดภายใน 3 ชม 💨 ด้วยนะคะ เข้ามาสอบถาม หรือมาปรึกษาแผนการเรียนการส…
55,เด็กควรไปโรงเรียน #เรียนออนไลน์,2011-11-06 14:49:44,เด็กควรไปโรงเรียน
56,ถามว่าตารางเหี้ยๆแบบนี้ ทำกันได้ไงอะ จะมีวันไหนได้แดกข้าวเที่ยงที่เที่ยงบ้างมะ กลางวันกูนั่งเรียนยั่น2ทุ่ม กูเหนื่อ… https://t.co/0FLikLgR29,2011-11-13 04:47:57,ถามว่าตารางเหี้ยๆแบบนี้ ทำกันได้ไงอะ จะมีวันไหนได้แดกข้าวเที่ยงที่เที่ยงบ้างมะ กลางวันกูนั่งเรียนยั่น2ทุ่ม กูเหนื่อ…
57,อาจารย์บางคนคือไม่พัฒนาไม่ก้าวหน้ามัวแต่บังคับพวกกุเปิดกล้อง กุจ่ายเงินให้มึงสอนก็สอนไปค่ะ  #เรียนออนไลน์,2011-11-13 04:47:57,อาจารย์บางคนคือไม่พัฒนาไม่ก้าวหน้ามัวแต่บังคับพวกกุเปิดกล้อง กุจ่ายเงินให้มึงสอนก็สอนไปค่ะ
58,"ฝากถึง @BadStudent_ ครับ อัดมาให้แล้ว

ถามเรื่องการศึกษา ไปพาดพิงการเคลื่อนไหวของมวลชนนอกสภา

ถ้ามวลชนนอกสภาไม่ออกม… https://t.co/eth8cjG4Sp",2012-02-25 20:40:22,ฝากถึง ครับ อัดมาให้แล้ว ถามเรื่องการศึกษา ไปพาดพิงการเคลื่อนไหวของมวลชนนอกสภา ถ้ามวลชนนอกสภาไม่ออกม…
59,มีเสื้อนักศึกษาที่ยังไม่ได้ใส่2ตัว ไซส์ S จะทิ้งก็เสียดาย ตอนนี้ส่วนใหญ่มหาลัยเรียนออนไลน์กันใช่มั้ยนะ แต่ว่ามีน้อง… https://t.co/XyHH62SOpG,2012-03-05 12:41:02,มีเสื้อนักศึกษาที่ยังไม่ได้ใส่2ตัว ไซส์ S จะทิ้งก็เสียดาย ตอนนี้ส่วนใหญ่มหาลัยเรียนออนไลน์กันใช่มั้ยนะ แต่ว่ามีน้อง…
60,เรียนอยู่บ้านมันไม่ได้สบายทุกคนนะ ทั้งเรียนไม่รู้เรื่องทั้งคนรอบข้างมันไม่ได้เอื้อแก่การเรียนเลยสุขภาพจิตก็แย่ #เรียนออนไลน์,2012-04-02 07:36:43,เรียนอยู่บ้านมันไม่ได้สบายทุกคนนะ ทั้งเรียนไม่รู้เรื่องทั้งคนรอบข้างมันไม่ได้เอื้อแก่การเรียนเลยสุขภาพจิตก็แย่
61,เป็น workshop กลุ่มเล็กๆ พูดคุยกันแบบสบายๆเป็นกันเอง เป็นโอกาสดีๆที่เราจะได้มาลองพูดคุยแลกเปลี่ยนกันเพื่อหาแนวทางกา… https://t.co/xQ6i4eguaH,2012-04-05 13:13:38,เป็น workshop กลุ่มเล็กๆ พูดคุยกันแบบสบายๆเป็นกันเอง เป็นโอกาสดีๆที่เราจะได้มาลองพูดคุยแลกเปลี่ยนกันเพื่อหาแนวทางกา…
62,"ถ้า #สนับสนุนเลื่อนเปิดเทอม โดยให้ #เรียนออนไลน์ ต่อ

ได้โปรด #สนับสนุนเลื่อนสอบ ให้ #dek64 #เด็กซิ่ว ด้วยนะครับ… https://t.co/z7fMNGbbZw",2012-04-13 08:36:02,ถ้า โดยให้ ต่อ ได้โปรด ให้ ด้วยนะครับ…
63,ช่วยแนะนำมหาลัยของเกาหลี แบบออนไลน์ที่ได้ใบปริญญา..มีคณะที่เรียนภาษาเกาหลีมั้ยคะ อยากรู้เรื่องการสมัคร ค่าเทอม ก่อน… https://t.co/Hgl0ufsbw6,2012-04-14 15:05:00,ช่วยแนะนำมหาลัยของเกาหลี แบบออนไลน์ที่ได้ใบปริญญา  มีคณะที่เรียนภาษาเกาหลีมั้ยคะ อยากรู้เรื่องการสมัคร ค่าเทอม ก่อน…
64,เปิดใจ “น้องวิว” เด็กหญิงใจสู้กางร่มเรียนออนไลน์กลางแดดที่บ้านห้วยแร่ ขอบคุณทุกความช่วยเหลือ และยืนยันจะตั้งใจเรียน… https://t.co/RJCkP9OrUs,2012-05-18 04:11:16,เปิดใจ  น้องวิว  เด็กหญิงใจสู้กางร่มเรียนออนไลน์กลางแดดที่บ้านห้วยแร่ ขอบคุณทุกความช่วยเหลือ และยืนยันจะตั้งใจเรียน…
