category,user,id,description,verified,created_at,location,favourites,retweets,entities
pos,theactive_net,1379001873676398592,The Active พาไปรู้จักชุมชนการเรียนรู้ “ก่อการครู 3 ภู Plus” กิจกรรมรวมหมู่ของครูก่อการคูณ ที่ อ.สีชมพู จ.ขอนแก่น กับแนวคิดขยายชุมชนการเรียนรู้จากระดับพื้นที่ 📌 ชมทาง Youtube : https://t.co/UeZ9o5MKwS และทาง https://t.co/u4rglYNZBk #การศึกษาไทย #ปฏิรูปการศึกษา #ก่อการครู,False,2021-04-05 09:24:01,"หลักสี่, กรุงเทพมหานคร",292,0,"{'hashtags': [{'text': 'การศึกษาไทย', 'indices': [231, 243]}, {'text': 'ปฏิรูปการศึกษา', 'indices': [244, 259]}, {'text': 'ก่อการครู', 'indices': [260, 270]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/UeZ9o5MKwS', 'expanded_url': 'https://youtu.be/s2zAS-LZtuQ', 'display_url': 'youtu.be/s2zAS-LZtuQ', 'indices': [176, 199]}, {'url': 'https://t.co/u4rglYNZBk', 'expanded_url': 'https://www.facebook.com/theactive.net/posts/4034897649874898', 'display_url': 'facebook.com/theactive.net/…', 'indices': [207, 230]}]}"
neg,Ppopop003,1378956956472254465,"คือกูงงโรงเรียนน้องกูยังไม่ปิดเว้ย เเต่อาจารย์เเม่งประกาศบอกเด็กว่า ""ใครที่มีผปค.อยู่บ้านก็ไม่ต้องมารร.นะคะ ส่วนใครที่ไม่มีก็มา"" ปลูกฝังอะไรคะ ทีนี้ไม่ว่าจะน้องกู/เด็กคนอื่นที่มีผปค.ไม่ไปรร.จ้า มาพูดเเบบนี้น้องกูก็จำดิเเล้วต่อไปมันก็คงตอบกูด้วยคำพูดของอาจารย์อะหรอ #การศึกษาไทย",False,2021-04-05 06:25:32,,69,0,"{'hashtags': [{'text': 'การศึกษาไทย', 'indices': [265, 277]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
neg,somjittttttNaja,1378954106086154241,ครูตรวจข้อสอบผิด #รรชื่อดังย่านไพศาล #การศึกษาไทย  #การศึกษาฆ่าฉัน,False,2021-04-05 06:14:13,"London, England",235,1,"{'hashtags': [{'text': 'รรชื่อดังย่านไพศาล', 'indices': [17, 36]}, {'text': 'การศึกษาไทย', 'indices': [37, 49]}, {'text': 'การศึกษาฆ่าฉัน', 'indices': [51, 66]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
neg,anyoung340,1378938944478310400,ก็ไม่เข้าใจนะเสียค่าเทอมเป็น10000-20000 เพื่อมาโดนด่าหรอคะ?  #การศึกษาฆ่าฉัน  #การศึกษาไทย,False,2021-04-05 05:13:58,,16,3,"{'hashtags': [{'text': 'การศึกษาฆ่าฉัน', 'indices': [61, 76]}, {'text': 'การศึกษาไทย', 'indices': [78, 90]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
neg,HappyvirusJ17,1378934103404290048,เรารู้สึกเเย่มากที่เราขาดทำกิจกรรมเพราะติดสอบเเล้วอาจารย์ประจำสาขาสั่งลงโทษโดยการให้คัดข้อมูล 3 หน้ากระดาษเอสี่ 8 จบ ที่รู้สึกแย่มากตรงที่เรารู้สึกไม่ได้รับความยุติธรรม เหตุไหนการสอบถึงสำคัญน้อยกว่ากิจกรรม #การศึกษาฆ่าฉัน,False,2021-04-05 04:54:44,Obsession #EXO The 6th Album,3446,0,"{'hashtags': [{'text': 'การศึกษาฆ่าฉัน', 'indices': [206, 221]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
neg,kokakub,1378908448230764544,"เเม่: ทำไมยิ่งเรียนยิ่งโง่ล่ะลูก 
&gt;ก็นั่นน่ะสิเเม่
&gt;เอาจริงๆหนูก็โง่ตั้งนานเเล้วนะ

#การศึกษาฆ่าฉัน  #เรียน 
#โรคซึมเศร้า #ท้อ",False,2021-04-05 03:12:47,,0,1,"{'hashtags': [{'text': 'การศึกษาฆ่าฉัน', 'indices': [90, 105]}, {'text': 'เรียน', 'indices': [107, 113]}, {'text': 'โรคซึมเศร้า', 'indices': [115, 127]}, {'text': 'ท้อ', 'indices': [128, 132]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
neg,rbCkd4VYdVWPxCJ,1378897510295502848,"@Supchai49717856 ใช่ๆเป็นครูยังไงอ่านชื่อเด็กไม่ถูกละชอบขู่เด็กให้เด็กกลัว #รร.สีม่วง
#ครูสอนภาษาไทยมัธยม #การศึกษาไทย #ครูไทย",False,2021-04-05 02:29:19,,4,0,"{'hashtags': [{'text': 'รร', 'indices': [75, 78]}, {'text': 'ครูสอนภาษาไทยมัธยม', 'indices': [86, 105]}, {'text': 'การศึกษาไทย', 'indices': [106, 118]}, {'text': 'ครูไทย', 'indices': [119, 126]}], 'symbols': [], 'user_mentions': [{'screen_name': 'Supchai49717856', 'name': 'จิ๊กกะดิ๊ว', 'id': 1315101679704973312, 'id_str': '1315101679704973312', 'indices': [0, 16]}], 'urls': []}"
neg,RRRR34163761,1379471854709043200,"อาจารย์ควรแหกตาดูด้วยนะครับว่าผู้ติดเชื้อมันเพิ่มสูงขึ้น ไม่ใช่คิดแต่จะให้มามหาลัยเพื่อที่จะสอบ ทั้งๆที่วิชาอื่นสอบออนไลน์กันไปหมดแล้ว มึงอยากให้กูติดเชื้อตายมากใช่ไหม ราชภัฏ อันดับ 1 
#การศึกษาฆ่าฉัน #ชีวิตเด็กมหาลัย #โควิด19",False,2021-04-06 16:31:34,,7,1,"{'hashtags': [{'text': 'การศึกษาฆ่าฉัน', 'indices': [185, 200]}, {'text': 'ชีวิตเด็กมหาลัย', 'indices': [201, 217]}, {'text': 'โควิด19', 'indices': [218, 226]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
neu,kkpwsp,1379429499259904006,ทำไมต้องบังคับเรียนวันเสาร์ด้วยอะ ม.ปลายแล้วอยากออกไปติวที่อื่นบ้างแต่ก็ทำได้เรียกร้องแค่ในทวิตนี่แหละค่ะ #โรงเรียนสักที่นึงในย่านลาดกระบัง #การศึกษาไทย,False,2021-04-06 13:43:15,,2,2,"{'hashtags': [{'text': 'โรงเรียนสักที่นึงในย่านลาดกระบัง', 'indices': [106, 139]}, {'text': 'การศึกษาไทย', 'indices': [140, 152]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
neu,kanomjean150545,1379390015545954304,""" ปัญหาการเรียนสายศิลป์ที่ไม่ได้แปลว่าอยากเรียนต่อสายศิลป์ ""

ขอพื้นที่ให้ "" เด็กศิลป์❤️ วิทย์ ""

- รู้หมือไร่ เด็กศิลป์สามารถสมัครกสพท.หรือคณะสายวิทย์ได้นะ

มาร่วมกันแชร์ประสบการณ์รวมถึงแสดงความคิดเห็นต่าง ๆ กันนะคะ

#เด็กศิลป์หัวใจวิทย์ #ปัญหาการศึกษา #การศึกษาไทย #มปลาย https://t.co/Oxqqpkg6kb",False,2021-04-06 11:06:22,"หนองแขม, กรุงเทพมหานคร",17279,2,"{'hashtags': [{'text': 'เด็กศิลป์หัวใจวิทย์', 'indices': [218, 238]}, {'text': 'ปัญหาการศึกษา', 'indices': [239, 253]}, {'text': 'การศึกษาไทย', 'indices': [254, 266]}, {'text': 'มปลาย', 'indices': [267, 273]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1379390010894413825, 'id_str': '1379390010894413825', 'indices': [274, 297], 'media_url': 'http://pbs.twimg.com/media/EyST6BYVcAEmCBl.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EyST6BYVcAEmCBl.jpg', 'url': 'https://t.co/Oxqqpkg6kb', 'display_url': 'pic.twitter.com/Oxqqpkg6kb', 'expanded_url': 'https://twitter.com/kanomjean150545/status/1379390015545954304/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1448, 'h': 2048, 'resize': 'fit'}, 'small': {'w': 481, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 848, 'h': 1200, 'resize': 'fit'}}}]}"
neu,_araikub,1379389590641999875,""" ปัญหาการเรียนสายศิลป์ที่ไม่ได้แปลว่าอยากเรียนต่อสายศิลป์ ""
ขอพื้นที่ให้ "" เด็กศิลป์❤️วิทย์ ""
มาร่วมกันแชร์ประสบการณ์รวมถึงแสดงความคิดเห็นต่าง ๆ กันนะคะ
https://t.co/jy9nUc47bz

#เด็กศิลป์หัวใจวิทย์ #ปัญหาการศึกษา #การศึกษาไทย #มปลาย",False,2021-04-06 11:04:40,,768,1,"{'hashtags': [{'text': 'เด็กศิลป์หัวใจวิทย์', 'indices': [179, 199]}, {'text': 'ปัญหาการศึกษา', 'indices': [200, 214]}, {'text': 'การศึกษาไทย', 'indices': [215, 227]}, {'text': 'มปลาย', 'indices': [228, 234]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/jy9nUc47bz', 'expanded_url': 'https://docs.google.com/forms/d/e/1FAIpQLSdczhiieSThC--V-uv6RwXmdQ7MfQsDm65izoA_YwUdjC_Nhg/viewform', 'display_url': 'docs.google.com/forms/d/e/1FAI…', 'indices': [154, 177]}]}"
pos,PostToday,1379364966126415872,โชว์ผลงานนศ.ทุนนวัตกรรมสายอาชีพชั้นสูงจบปวส.รุ่นแรก  #นักเรียน #นักศึกษา #สร้างอาชีพ #การศึกษา via @PostToday https://t.co/4PxgG6D9Zd,True,2021-04-06 09:26:49,"Bangkok,Thailand",73,0,"{'hashtags': [{'text': 'นักเรียน', 'indices': [53, 62]}, {'text': 'นักศึกษา', 'indices': [63, 72]}, {'text': 'สร้างอาชีพ', 'indices': [73, 84]}, {'text': 'การศึกษา', 'indices': [85, 94]}], 'symbols': [], 'user_mentions': [{'screen_name': 'PostToday', 'name': 'PostToday', 'id': 20586159, 'id_str': '20586159', 'indices': [99, 109]}], 'urls': [{'url': 'https://t.co/4PxgG6D9Zd', 'expanded_url': 'https://www.posttoday.com/social/local/649785', 'display_url': 'posttoday.com/social/local/6…', 'indices': [110, 133]}]}"
neg,RRRR34163761,1379326621174263808,"อาจารย์ควรแหกตาดูด้วยนะครับว่าผู้ติดเชื้อมันเพิ่มสูงขึ้น ไม่ใช่คิดแต่จะให้มามหาลัยเพื่อที่จะสอบ ทั้งๆที่วิชาอื่นสอบออนไลน์กันไปหมดแล้ว มึงอยากให้กูติดเชื้อตายมากใช่ไหม ราชภัฏ อันดับ 1 
#การศึกษาฆ่าฉัน #ชีวิตเด็กมหาลัย",False,2021-04-06 06:54:27,,7,0,"{'hashtags': [{'text': 'การศึกษาฆ่าฉัน', 'indices': [185, 200]}, {'text': 'ชีวิตเด็กมหาลัย', 'indices': [201, 217]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
neg,CXRFT5,1379311248257339392,อีเหี้ยไม่ไหวไม่ให้กูแก้ทั้งทีทำสมุดกูหายงงมากแล้วไม่ให้กูแกด้วยนะประเด็น ชั่งเถอะเข้าใจอยู่เกรด2ก็เกรด2จ้า #การศึกษาไทย,False,2021-04-06 05:53:22,ไม่ยึดติดแต่ก็ทำไม่ได้,567,0,"{'hashtags': [{'text': 'การศึกษาไทย', 'indices': [108, 120]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
neg,Palm404,1379266848085082113,รร.เหี้ยไรจ่ายแล้ว500ค่าค่าย แล้วทำผ้าผูกคอหาย แม่งต้องจ่ายด้วย #การศึกษาไทย #โรงเรียนดังย่านบขส,False,2021-04-06 02:56:56,,1,0,"{'hashtags': [{'text': 'การศึกษาไทย', 'indices': [64, 76]}, {'text': 'โรงเรียนดังย่านบขส', 'indices': [77, 96]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
neg,zhanzhan114,1379256931492057088,โมโห คือรร.ไม่แจ้งว่าจะมีบูมให้รุ่นพี่ก่อนเรียนจบ อยู่ๆก็มาบอกเจอกันพน.ซ้อมบูมให้พี่ คือมาบอกตอนกลางคืนด้วยไง เลยถามไปว่าคนที่ไม่ว่างหรือไม่มีใครไปส่งทำยังไง เมินคำถามแล้วไม่ตอบคืออะไร ควรตรัสรู้เองงี้หรอ #การศึกษาฆ่าฉัน #การศึกษาไทย,False,2021-04-06 02:17:32,,8860,0,"{'hashtags': [{'text': 'การศึกษาฆ่าฉัน', 'indices': [205, 220]}, {'text': 'การศึกษาไทย', 'indices': [221, 233]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
neg,Imsobadbadd,1379848378440327171,การบอกว่าไม่ต้องตกใจที่ทำข้อสอบไม่ทันเพราะอาจารย์​ไม่ได้ออกแบบมาให้ทำไม่ทัน ซึ่งก็บรรลุเป้าหมาย ถามจริงมีความสุขมากป่ะ? ทำไม่ทันคะแนนสอบมันหายไปเลย แล้วเกณฑ์​คะแนนสอบ&gt;คะแนนเก็บอีก ผู้ใหญ่เป็นบ้าอะไรกันไปหมด! #การศึกษาไทย #การศึกษาฆ่าฉัน #ความล้มเหลวของการศึกษาไทย #ชีวิตเด็กมหาลัย,False,2021-04-07 17:27:44,,30,2,"{'hashtags': [{'text': 'การศึกษาไทย', 'indices': [211, 223]}, {'text': 'การศึกษาฆ่าฉัน', 'indices': [224, 239]}, {'text': 'ความล้มเหลวของการศึกษาไทย', 'indices': [240, 266]}, {'text': 'ชีวิตเด็กมหาลัย', 'indices': [267, 283]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
neg,Imsobadbadd,1379847013336903680,รู้สึกว่าอาจารย์​ในระบบ #การศึกษาไทย   มักจะมีความสุขบนความทุกข์​ของผู้เรียน #การศึกษาฆ่าฉัน #ความล้มเหลวของการศึกษาไทย #ชีวิตเด็กมหาลัย,False,2021-04-07 17:22:18,,30,2,"{'hashtags': [{'text': 'การศึกษาไทย', 'indices': [24, 36]}, {'text': 'การศึกษาฆ่าฉัน', 'indices': [77, 92]}, {'text': 'ความล้มเหลวของการศึกษาไทย', 'indices': [93, 119]}, {'text': 'ชีวิตเด็กมหาลัย', 'indices': [120, 136]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
neu,askdinso,1379828959290912769,"แสดงความคิดเห็นของคุณ ร่วมถกเถียง ได้ที่ https://t.co/NED90B9N9R

#การศึกษาไทย #ตั้งคำถาม #ถามคำถาม #dinso #dinsoco",False,2021-04-07 16:10:34,"Bangkok, Thailand",2,0,"{'hashtags': [{'text': 'การศึกษาไทย', 'indices': [66, 78]}, {'text': 'ตั้งคำถาม', 'indices': [79, 89]}, {'text': 'ถามคำถาม', 'indices': [90, 99]}, {'text': 'dinso', 'indices': [100, 106]}, {'text': 'dinsoco', 'indices': [107, 115]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/NED90B9N9R', 'expanded_url': 'https://dinso.co/questions/5ffd5d5ae81add1d142058c1', 'display_url': 'dinso.co/questions/5ffd…', 'indices': [41, 64]}]}"
neg,sadbyb1,1379820077344645130,ภาวนาให้ทุกอย่างมันจบลง...ฉันขอยอมเเพ้ #โรคซึมเศร้า #การศึกษาฆ่าฉัน https://t.co/2w7NdYAtzb,False,2021-04-07 15:35:16,,26,2,"{'hashtags': [{'text': 'โรคซึมเศร้า', 'indices': [39, 51]}, {'text': 'การศึกษาฆ่าฉัน', 'indices': [52, 67]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1379820071040606209, 'id_str': '1379820071040606209', 'indices': [68, 91], 'media_url': 'http://pbs.twimg.com/media/EyYbC0RUYAEpi5e.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EyYbC0RUYAEpi5e.jpg', 'url': 'https://t.co/2w7NdYAtzb', 'display_url': 'pic.twitter.com/2w7NdYAtzb', 'expanded_url': 'https://twitter.com/sadbyb1/status/1379820077344645130/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 383, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 675, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 1152, 'h': 2048, 'resize': 'fit'}}}]}"
neg,My_PeachC31,1379797486940872705,"ตั้งใจเรียนมาก เข้าเรียนตลอดส่งงานครบแต่ได้เกรดเท่าคนที่ไม่ค่อยมาเรียนไม่ค่อยส่งงาน
#การศึกษาฆ่าฉัน",False,2021-04-07 14:05:30,GOT7 SEVENTEEN ฯ,15320,1,"{'hashtags': [{'text': 'การศึกษาฆ่าฉัน', 'indices': [84, 99]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
neu,604_yourpp,1379773613167976452,พอมันคิดๆดู ชีวิตตลอดตั้งรู้จักการศึกษาก็ทุ่มเทกับมันจนเกิดผลเสียมากกว่าผลดี เครียด เหนื่อย ท้อ จนถึงขั้นไม่เห็นคุณค่าและความสามารถของตัวเอง ทำไมวะ แค่อยากมีคุณภาพชีวิตที่ดีแค่อยากได้รับการศึกษาดีๆ มันเหนื่อยขนาดนี้เลย #การศึกษาไทย #การศึกษาฆ่าฉัน #WhatsHappeningInThailand,False,2021-04-07 12:30:38,,1207,4,"{'hashtags': [{'text': 'การศึกษาไทย', 'indices': [219, 231]}, {'text': 'การศึกษาฆ่าฉัน', 'indices': [232, 247]}, {'text': 'WhatsHappeningInThailand', 'indices': [248, 273]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
neg,ford254477,1379771746274791427,ฉันมันก็แค่เด็กคนนึงที่แค่หวังอยากจะทำให้พ่อแม่ภูมิใจ​พยายามทำให้ดีที่สุดทุกครั้ง​แต่มันก็ยังไม่มากพอทุกครั้งฉันจะโดนเข้าใจผิดว่าเป็นเด็กไม่ดี​ ทำให้พ่อแม่อาย​แต่ฉันก็นึกอยู่ตลอดว่าทำไมโลกนี้ถึงใจร้ายกับฉันแบบนี้​ฉันได้แต่ขอโทษแม่เป็นหมื่นครั้งและเอาแต่โทษตัวเอง​#การศึกษาฆ่าฉัน,False,2021-04-07 12:23:13,,1,0,"{'hashtags': [{'text': 'การศึกษาฆ่าฉัน', 'indices': [263, 278]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
neg,ZLKw8KoFyO2GnbV,1379736301381906434,ผู้ใหญ่หลายๆคนบอกตอนนี้มีหน้าที่เรียนก็เรียนอย่างเดียว เดี๋ยวไว้ไปเที่ยวตอนทำงาน ตอนมหาลัย เอาเวลาไหนไปเที่ยวอ่ะ ชีวิตต้องมีแดกต้องใช้มั้ย  #การศึกษาไทย,False,2021-04-07 10:02:23,,4710,6,"{'hashtags': [{'text': 'การศึกษาไทย', 'indices': [140, 152]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
