,description,created_at
45,อยากถามเด็กๆที่เรียนออนไลน์ว่าได้ความรู้มากกว่า เท่ากับ หรือน้อยกว่า เรียนในห้องเรียนปกติมั้ย? แล้วเด็กม.6ที่เตรียม… https://t.co/NjvkZg2PWu,2010-07-26 06:14:32
46,#เรียนออนไลน์ เป็นการแก้ปัญหาที่ห่วยแตกมาก ครูทำหน้าที่แค่ตัดต่อคลิป หาวิดีโอสื่อการสอนของคนอื่นมาตัดแปะ ส่วนตัวเอง… https://t.co/zZIOwiIuEV,2010-08-10 23:09:08
48,มันผิดที่ระบบกลับหัวกลับหางไปหมดเช่นการเรียนภาษาที่ถูกตามหลักการเรียนรู้ของสมองต้องเป็นดังนี้คือฟังก่อนแล้วพูด พูดไ… https://t.co/fVpSvyMNlq,2010-09-14 04:49:39
49,โอ้ยขำจนปอดโยก 55555 #เรียนออนไลน์ https://t.co/4SX44TG2dS,2010-10-19 03:46:34
53,"กลับสู่ภาวะปกติ ^^

ใช้เวลาหนึ่งคาบ ทบทวนสิ่งที่ #เรียนออนไลน์ ไปทั้งหมด จนเข้าใจ 
#เกรดเทอมนี้ดีแน่นอน
#คณิตครูเอก… https://t.co/qZKqYmzj45",2010-10-19 09:53:55
57,"ช่วยรีด้วยนะคะ #dek64 #TCAS64
#swu #TCAS #การศึกษาไทย #สอบเทียบ #สอบTOEIC #GATPAT #gatpat64 https://t.co/dvzPDTm9kX",2010-10-27 07:41:23
59,"Super​ Poll​ เผยผลการสำรวจเรียนแบบไหน​เสี่ยงติดโควิดมากที่สุด
พบว่าส่วนมาก 47.8% ระบุเรียนที่สถาบันศึกษาแบบเดิมเสี่… https://t.co/cJicGNwUOf",2010-12-15 04:24:10
60,รองโฆษก รัฐบาลเผย ครม.เห็นชอบโครงการ #พลังสิบ ปี 2564-2573 สนับสนุนนักเรียนด้านวิทยาศาตร์-คณิตศาสตร์ เพิ่มความสามาร… https://t.co/jVAyaPF2qY,2010-12-15 04:24:10
61,ศธ.เตรียมดันมาตรการ ​โรงเรียนเอกชนสรุปค่าใช้จ่ายที่ไม่เกิดขึ้นเพราะการเรียนออนไลน์ทั้งเดือน ม.ค.นี้ คืนผู้ปกครอง ภา… https://t.co/BkQjVLMxvn,2010-12-15 04:24:10
62,"รองโฆษก รัฐบาลเผย ครม.เห็นชอบโครงการ #พลังสิบ ปี 2564-2573 สนับสนุนนักเรียนด้านวิทยาศาตร์-คณิตศาสตร์ เพิ่มความสามารถในการแข่งขันของประเทศ
พัฒนานักเรียนระดับชั้นป.4 ถึง ม.6 ที่มีความสนใจพิเศษด้านวิทยาศาสตร์ คณิตศาสตร์  เทคโนโลยีและนวัตกรรมในทุกพื้นที่
#การศึกษา #การศึกษาไทย https://t.co/nKfopaRxZB",2010-12-15 04:24:10
63,"“การเปิดเรียนของสถานศึกษา อาจจะเปิดไม่พร้อมกัน
ขึ้นอยู่กับพื้นที่ ถ้าเป็นพื้นที่สีเขียว อาจเปิดเรียนได้ก่อน”

พญ.อ… https://t.co/WcAErGYZBb",2010-12-15 04:24:10
64,บางครั้งก็อยากถามครูที่เฆี่ยน ตี นักเรียนที่ทำผิดว่า เติบโตมาจากครอบครัวที่มีอาชีพ เลี้ยงวัว ควย หรือไงครับ? ถึงได้… https://t.co/WHotxjCof9,2011-01-08 18:53:47
66,มีใครสนใจมั้ย ถ้ามีเปิดติวONET วิทย์ม.6 ออนไลน์ ชม.ละ100 บาท (แค่1ชม.น้าา นี่ลดให้เบย) แต่รับแค่อาทิตย์ละ1คนนะคับบบ… https://t.co/wGtmu1ehju,2011-02-01 11:37:23
71,น.ส. ภัคจิรา เรืองฉาย นิสิตปี 4 คณะรัฐศาสตร์ ภาคความสัมพันธ์ระหว่างประเทศ จุฬาฯ โพสต์ถึงการปรับจาก #เรียนออนไลน์ มา… https://t.co/pmdclDp6yl,2011-03-16 02:30:11
72,"คอลัมน์ทิ้งหมัดเข้ามุม : อนาคตการศึกษาไทย
#โควิด19 
#เรียนออนไลน์ 
https://t.co/HuNDxHK8NH",2011-03-16 02:30:11
73,สวนกุหลาบยังไม่เปิดเรียน 1 ก.พ. !! ผอ.สวนกุหลาบวิทยาลัย สั่งปิดเรียนต่อถึง 5 ก.พ. โดยให้เรียนออนไลน์ เปิดเรียนอีกค… https://t.co/1jTygUXvEt,2011-03-16 02:30:11
74,ม.เกษตร เปิดจองไอแพดราคาพิเศษรองรับ #เรียนออนไลน์ ช่วง #โควิด19 ขณะที่นิสิตเรียกร้องให้ช่วยเหลือด้วยการลดค่าเทอม… https://t.co/aQ4QtBcNXX,2011-03-16 02:30:11
75,กระทรวงศึกษาฯ ออกประกาศให้โรงเรียนรัฐ และเอกชน เปิดการเรียนการสอนปกติในวันที่ 1 ก.พ. แต่ให้ปิดการเรียนการสอนในจ.สมุ… https://t.co/hYrOs32Aax,2011-03-16 02:30:11
76,"ไม่ต้องร้อนแล้ว!! จนท.รุดปักเสาเน็ต-กางเต็นท์ ช่วย‘น้องวิว’กางร่มเรียน ออนไลน์ กลางแดด
#เรียนออนไลน์ 
#น้องวิว… https://t.co/P2kOt8VBRN",2011-03-16 02:30:11
77,"สลับวันเรียน!!! 'ศธ.' ห่วง 5 จังหวัด พื้นที่สีแดง เปิดเรียน 1 ก.พ. เล็งให้ นักเรียนสลับวันมาเรียน
#โควิด 
#โควิด19… https://t.co/J1jrZGSbEz",2011-03-16 02:30:11
78,"อ.เจษฎา บุก ศธ. ประท้วงปิดโรงเรียน ชี้เด็ก 1 ใน 3 เข้าไม่ถึง #เรียนออนไลน์ 
#โควิด 
#โควิด19 
https://t.co/sH20AtxHFE",2011-03-16 02:30:11
79,"รัฐมนตรีฯ สั่งการเอง เร่งบริษัทติดตั้งเน็ต หลังพบนร.เยอรมัน นั่งเรียนกลางหิมะตก
#เรียนออนไลน์ 
https://t.co/7hIHi8Y2Qv",2011-03-16 02:30:11
80,ไม่รู้ว่าทำไม การเรียนวิชา พละในไทยมันถึงกลายเป็นวิชาที่เด็กไม่อยากเรียน หนึ่งแหละ กลัวโดนบลูลี่ ชอบโดนแกล้ง ดึงกาง… https://t.co/DY3sEaxmUH,2011-03-20 10:16:18
81,"สรุปเนื้อหาเวทีวิชาการ โควิด รุกรานการศึกษา

https://t.co/3WLwzcjc3U

#การศึกษาไทย  #โควิด19",2011-03-31 07:01:43
82,"เปิดเทอมรร.ต้องปรับตัวยังไง

https://t.co/jSjG16AbP3

#การศึกษา",2011-03-31 07:01:43
86,"ไม่มีอุปสรรคใดจะมาขัดขวางการเรียนออนไลน์ แม้กระทั่งความหิว😆

#เรียนออนไลน์สไตล์เพชรพลอย 
#เรียนไม่เครียด… https://t.co/9GTvzakulf",2011-06-05 07:48:23
88,"อยากฟังความเห็นเกี่ยวกับ #การศึกษาไทย จากมุมมองของ 5 กลุ่มคนเหล่านี้เพิ่มเป็นพิเศษค่ะ 
- ผู้ชาย
- สถานภาพสมรส (มีบุ… https://t.co/5eRdocmszt",2011-06-24 21:23:46
89,"มุแง้ รับบทนางขายเป็นอาชีพหลัก ครูเป็นงานอดิเรกนะค้าา ㅋㅋㅋ #รีวิวมีเฮแซม 
เดือนนี้เต็ม เดือนหน้ารับอีก2คอร์สพอแย้วน้… https://t.co/x4S9BvN7ok",2011-07-07 03:39:27
91,📣 ขออนุญาตประชาสัมพันธ์ค่ะ เรียนเชิญผู้ที่สนใจเข้าร่วมการสัมมนาออนไลน์ได้ตามรายละเอียดที่แนบมานี้ ทั้งนี้ ไม่ได้จำ… https://t.co/4phSXIj2Rx,2011-07-16 05:17:53
92,🚩💚🎉👉ศูนย์จุฬา TutorByBarbell เรามีโปรโมชั่นสุดพิเศษ ปี 2564 !!! ไว้ให้น้องๆๆมีเรียนสดตัวต่อตัว  เดียว  กลุ่ม  Onlin… https://t.co/w7IOODv6ML,2011-08-17 10:27:39
94,แนะรัฐทำนโยบาย'โรงเรียนชนะ'เยียวยาการศึกษาเด็กไทย หลังถดถอยจากพิษโควิด https://t.co/BOsisd30r4 #isranews… https://t.co/XoGDCadqax,2011-08-24 07:31:52
95,ไร้อุปกรณ์-เวลาไม่พร้อม!ปัญหาการศึกษาไทย เมื่อเด็กต้อง'เรียนออนไลน์'ยุคโควิด https://t.co/e3pvWOgoQ1 #isranews… https://t.co/VbujkgQOa4,2011-08-24 07:31:52
96,"กินอยู่อย่างประหยัด เวอร์ชั่น น้องจินต์ในอังกฤษ มาแล้วค่ะ 
 
วันนี้เราพาไปส่องซุปเปอร์มาร์เก็ตของอังกฤษ ที่ไหนแพง… https://t.co/FGtvFUrxdq",2011-09-01 21:10:27
97,"How are you?  
I’m fine, thank you. And you?
 
ตอบแบบนี้คือบ้งไปแล้วจ้า มาดูวิธีตอบแบบอื่น ๆ ที่เวิร์คกว่านี้กันดีก… https://t.co/dNTOwj8wAT",2011-09-01 21:10:27
98,ตอนนี้ม.กูบอกให่้จัดกานเรียนการสอนแบบผสมผสาน พ่อมึง เรียนหนังสือนะ ไม่ได้ทำอาหารที่มึงจะมาฟิวชั่นได้ แม่เย็ด 🤬  #เรียนออนไลน์,2011-09-21 11:59:59
99,ไอเหี้ยยย ไม่คิดว่าจะเจอกับตัว เรียนออนไลน์นัดชด แล้วรุ่นน้องต้องไปงานศพ ขอขาดที่ชด แม่งเสือกไม่ให้ โห เลว เกินไปปะ… https://t.co/JuIDdcoSn3,2011-09-21 11:59:59
100,"มึงช่วยเปิดโรงเรียนแล้วให้น้องเค้าและเด็กทั่วประเทศไปเรียนที่โรงเรียนได้แล้วสัส!
#เรียนออนไลน์ https://t.co/t8sKTPYYLg",2011-10-06 07:08:15
101,"facebook: เวย์หา-ค้นหาตัวตนผ่านเกมชีวิต
#เรื่องจริง ของ #การศึกษาไทย https://t.co/brM4dTasU8",2011-10-18 04:33:00
102,จะสอบแล้ว แต่อ่านไม่ทัน พี่มีคอร์ส #สรุปเคมี เร่ง รัดภายใน 3 ชม.💨 ด้วยนะคะ เข้ามาสอบถาม หรือมาปรึกษาแผนการเรียนการส… https://t.co/tRoacS4NRt,2011-11-02 03:36:39
106,เด็กควรไปโรงเรียน #เรียนออนไลน์,2011-11-06 14:49:44
107,Proofread และการแปลสำคัญกับภาษาในชิ้นงานมากนะคะ♡ คนตรวจ/อาจารย์อ่านแล้วจะรู้ได้ทันที พี่ไม่ได้รับแปลเรทถูกที่สุด แ… https://t.co/12wo9fOYFT,2011-11-07 09:25:52
108,Proofread และการแปลสำคัญกับภาษาในชิ้นงานมากนะคะ♡ คนตรวจ/อาจารย์อ่านแล้วจะรู้ได้ทันที พี่ไม่ได้รับแปลเรทถูกที่สุด แ… https://t.co/UNdYmNTVCR,2011-11-07 09:25:52
109,Proofread และการแปลสำคัญกับภาษาในชิ้นงานมากนะคะ♡ คนตรวจ/อาจารย์อ่านแล้วจะรู้ได้ทันที พี่ไม่ได้รับแปลเรทถูกที่สุด แ… https://t.co/OsP7sSPgkk,2011-11-07 09:25:52
110,ถามว่าตารางเหี้ยๆแบบนี้ ทำกันได้ไงอะ จะมีวันไหนได้แดกข้าวเที่ยงที่เที่ยงบ้างมะ กลางวันกูนั่งเรียนยั่น2ทุ่ม กูเหนื่อ… https://t.co/0FLikLgR29,2011-11-13 04:47:57
111,อาจารย์บางคนคือไม่พัฒนาไม่ก้าวหน้ามัวแต่บังคับพวกกุเปิดกล้อง กุจ่ายเงินให้มึงสอนก็สอนไปค่ะ  #เรียนออนไลน์,2011-11-13 04:47:57
112,"ฝากถึง @BadStudent_ ครับ อัดมาให้แล้ว

ถามเรื่องการศึกษา ไปพาดพิงการเคลื่อนไหวของมวลชนนอกสภา

ถ้ามวลชนนอกสภาไม่ออกม… https://t.co/eth8cjG4Sp",2012-02-25 20:40:22
114,มีเสื้อนักศึกษาที่ยังไม่ได้ใส่2ตัว ไซส์ S จะทิ้งก็เสียดาย ตอนนี้ส่วนใหญ่มหาลัยเรียนออนไลน์กันใช่มั้ยนะ แต่ว่ามีน้อง… https://t.co/XyHH62SOpG,2012-03-05 12:41:02
126,เรียนอยู่บ้านมันไม่ได้สบายทุกคนนะ ทั้งเรียนไม่รู้เรื่องทั้งคนรอบข้างมันไม่ได้เอื้อแก่การเรียนเลยสุขภาพจิตก็แย่ #เรียนออนไลน์,2012-04-02 07:36:43
128,เป็น workshop กลุ่มเล็กๆ พูดคุยกันแบบสบายๆเป็นกันเอง เป็นโอกาสดีๆที่เราจะได้มาลองพูดคุยแลกเปลี่ยนกันเพื่อหาแนวทางกา… https://t.co/xQ6i4eguaH,2012-04-05 13:13:38
129,"ถ้า #สนับสนุนเลื่อนเปิดเทอม โดยให้ #เรียนออนไลน์ ต่อ

ได้โปรด #สนับสนุนเลื่อนสอบ ให้ #dek64 #เด็กซิ่ว ด้วยนะครับ… https://t.co/z7fMNGbbZw",2012-04-13 08:36:02
130,ช่วยแนะนำมหาลัยของเกาหลี แบบออนไลน์ที่ได้ใบปริญญา..มีคณะที่เรียนภาษาเกาหลีมั้ยคะ อยากรู้เรื่องการสมัคร ค่าเทอม ก่อน… https://t.co/Hgl0ufsbw6,2012-04-14 15:05:00
131,"“เขตปกครองพิเศษ” ~ ที่ต้องจำไปสอบน้าเด็กๆ 💕
Ig : @chinesechicchic
#ภาษาจีน #แพทจีน #แกทแพท #เรียนพิเศษ… https://t.co/HmCOqyDa3Z",2012-05-13 05:11:37
132,เปิดใจ “น้องวิว” เด็กหญิงใจสู้กางร่มเรียนออนไลน์กลางแดดที่บ้านห้วยแร่ ขอบคุณทุกความช่วยเหลือ และยืนยันจะตั้งใจเรียน… https://t.co/RJCkP9OrUs,2012-05-18 04:11:16
133,เกลียด #การศึกษาไทย ตรงทีงานที่ครูสั่ง นักเรียนได้คะแนนส่วนครูได้ผลงาน สมเหตุสมผลดีค่ะ🙄🙄🙄,2012-06-23 17:58:59
134,ระหว่างสอนออนไลน์กำลังจะหมดชั่วโมง  นร:ครูครับผมขออนุญาตไปก่อนนะครับ  ครู:ไปไหนครับ นร:มีอุบัติเหตุครับผมทำมูลนิธิ… https://t.co/ypanxZ5NBN,2012-06-30 05:34:58
135,"สวัสดีกุมภาพันธ์ :) #ภาษาเกาหลี #ภาษาเกาหลีเบื้องต้น #dek64 #dek63 #dek65 #dek66 #dek66📚อยากเป็นหมอ 
#เรียน… https://t.co/o3B5I0ueFJ",2012-07-25 03:00:34
136,หมออ๋อง ส.ส. ก้าวไกล อภิปรายรมว.ศึกษาธิการ เรื่องการดำเนินคดีกับนักเรียน และปล่อยให้นักเรียนที่เคลื่อนไหวทางการเมือ… https://t.co/nboBoj28l4,2012-07-25 11:26:52
138,ติว pat1 come back แล้วนะจ้าาา ตะลุยข้อสอบจริงที่เคยออกสอบ มาม้ะๆ มาเรียนกัน ออนไลน์จับจองเวลากันได้เลย นครปฐมถ้าเ… https://t.co/luuRiT1iLt,2012-09-14 15:27:42
141,ใครเคยเรียนภาษาจีนผ่านทาง YouTube ช่วยเราทำแบบสอบถามหน่อยนะคะ เราต้องรวบรวมข้อมูลไปทำวิจัยค่ะ รบกวนช่วยรีต่อหน่อยนะ… https://t.co/f6iZ1NY6eb,2012-09-27 06:34:52
142,ใครเคยเรียนภาษาจีนผ่านทาง YouTube ช่วยเราทำแบบสอบถามหน่อยนะคะ เราต้องรวบรวมข้อมูลไปทำวิจัยค่ะ รบกวนช่วยรีต่อหน่อยนะ… https://t.co/m0ocQpvmMc,2012-09-27 06:34:52
143,"1 ก.พ. นี้ แทบทุกพื้นที่ในประเทศไทย
จะกลับมาเรียนในชั้นเรียนอีกครั้ง
หลักจากแยกย้ายกันไปเรียนออนไลน์
ตามมาตรการรักษ… https://t.co/pI3RjRDxz7",2012-10-09 15:54:08
144,"ขายถูกๆค่า MacBook Pro 13นิ้ว Mid 2012 สภาพดีมากค่ะ แทบไม่ได้ใช้
2.5GHz / Intel Core i5 / ความจุ 500 GB / RAM 4 GB… https://t.co/p4tYgo6P9D",2012-10-28 12:12:41
145,#โรงเรียนคอนแวนต์ แห่งหนึ่งในกทม. ให้งานวิชาพละและสุขศึกษาปสดมาก คิดว่าเด็ก #เรียนออนไลน์ มันว่างหรอ ให้ปริ้นรูปแล้… https://t.co/DelFUPCHou,2012-11-02 13:45:48
146,ออนไลน์ครึ่งนึง เรียนในห้องครึ่งนึงอีกแล้ว แล้วอาจารย์ในมอกูก็เอาใจยากชิบหาย บางวันเช้าเรียนในห้อง บ่ายมาเรียนออนไล… https://t.co/9ToBqxT3Ed,2012-11-06 13:18:27
148,"30ข้อ 30นาที จะร้องงง
แล้วประเด็นคือพอหมดเวลาระบบจะตัดทันที
ส่งไม่ทันคำแนนก็เป็น 0 ไปจ้าาา
#เรียนออนไลน์ #สอบออนไลน์",2013-02-01 11:05:35
149,อาจารย์ที่สอนออนไลน์แล้วไม่recordให้เด็กนี่คิดไรอยู่วะ ไม่คิดว่าระหว่างสอนเนตเด็กกระตุก หรือเรียนตามไม่ทันงี้บ้างหร… https://t.co/vQC2ESjbc9,2013-03-18 08:10:20
150,การ #เรียนออนไลน์ เป็นระยะเวลานานๆ ทำให้เสียสุขภาพจิตจริงง ไหนจะเรื่องสภาพแวดล้อมไม่เหมาะ ไหนจะเสียงดังรบกวน ไหนจะแ… https://t.co/Uf78fGD4Wn,2013-03-19 04:07:18
151,"เขตปกครองตนเองคืออะไร?? ซินเจียงอุยกูร์คือชนชาติไหน ดูคลิปที่ลิงค์นี้เลยจ้า🇨🇳
https://t.co/GMBQ6DBOCN

#ภาษาจีน… https://t.co/x0VVCKwx4I",2013-03-22 14:47:43
153,กูเรียนป.ตรีไง ป.ตรีที่แปลว่าไม่ได้ช่ำชองเรื่องวิจัยขนาดนั้น กูผิดตรงไหนยังไงก็แค่ให้คำแนะนำ ไม่ใช่ด่าๆๆๆแล้วให้กูไ… https://t.co/WhocsEvtoi,2013-04-19 06:44:17
154,ตัวเองเรียนออนไลน์ไม่เท่าไหร่ แต่น้องเรียนออนไลน์แล้วทำไมกูถึงลำบากด้วย #เรียนออนไลน์,2013-04-20 14:00:59
156,"รีวิวจากน้องที่เรียนด้วยชื่นใจมาก
⭐️สอนภาษาอังกฤษทุกระดับ
⭐️มัธยม มหาวิทยาลัย วัยทำงาน
⭐️ONET,GAT,9วิชาสามัญ,เรียนเ… https://t.co/HVTLQL71rg",2013-04-26 17:22:24
157,"💘สอนภาษาอังกฤษทุกระดับชั้น
💘ม.ต้น ม.ปลาย มหาวิทยาลัย วัยทำงาน
💘พื้นฐานไม่ดีก็เรียนได้ ปูพื้นให้ใหม่ได้
💘Grammar Rea… https://t.co/n7KWsjLSRR",2013-04-26 17:22:24
158,"-สอนพิเศษภาษาอังกฤษทุกระดับ
-ผู้สอนจบตรี/โทจากม.เกษตรศาสตร์
-ไม่มีพื้นฐานก็เรียนได้ปูพื้นให้ใหม่ได้
- มัธยม,มหาวิทย… https://t.co/qDRCU4IHWM",2013-04-26 17:22:24
159,พอถามมอถึงมาตรการป้องกันนอกจากใส่แมส ล้างมือ ก็ตอบแค่ให้นักศึกษาดูแลตัวเอง👏👏👏   #เรียนออนไลน์  #สนับสนุนเลื่อนเปิดเทอม,2013-05-31 09:54:40
160,ไม่ได้อยากเรียนออนไลน์แต่ก็ไม่ได้อยากไปเรียนที่มอแบบที่ไม่ได้มีมาตรดูแลอะไรเพิ่ม นอกจากให้นศใส่แมส ล้างมือ ซึ่งต้อง… https://t.co/3rBRVeHbA5,2013-05-31 09:54:40
161,ถ้าให้ #เรียนออนไลน์  ≠ อัดสั่งแต่งาน #สนับสนุนเลื่อนเปิดเทอม,2013-05-31 09:54:40
162,ปวดขี้ตอนเรียนมันเกิดขึ้นได้ แต่อิดอกปวดทั้งกลุ่มนี่เป็นอุปทานหมู่มั้ย555555 #เรียนออนไลน์ ตอนเช้าเป็นเหตุ https://t.co/nkyN6kNuWf,2013-06-02 13:22:55
163,เมื่อไหร่จะเลิกเรียนออนไลน์เข้าใจไหมว่าเด็กบางคนมันไม่พร้อม มึงเปิเร้านอาหารทุกอย่างได้ เเต่เปิดเรียนไม่ได้ ไม่งงหร… https://t.co/7PA0E8rRXY,2013-07-19 05:58:04
164,ปวดหัวปวดตา กูใส่แว่นกันแดดเรียนออนไลน์ อิควาย #เรียนออนไลน์ https://t.co/LTFeE2chUq,2013-07-20 15:05:07
165,ใช้วายฟายบ้านไม่ได้ กลัวหลุดแล้วหาว่ากุทุจริต ไม่เสถียร คนใช้เยอะ กูจะซื้อเน็ตเพิ่ม ใครจ่าย อ๋อกูเอง ค่าเสื่อมไอโฟน… https://t.co/e5LBaBUJUR,2013-07-20 15:05:07
166,อาจารย์ขี้เกียจสอน สั่งแต่งาน ไม่คิดมั่งเหรอว่ากูก็ขี้เกียจเหมือนกันอ่ะ #เรียนออนไลน์,2013-07-28 09:31:13
167,"ฉันเรียนไม่รู้เรื่อง เหนื่อยกว่านั่งเรียนในห้องอีก ล่าสุดเปิดเทอมมีนาตายก่อนน 
#เรียนออนไลน์",2013-08-07 13:12:12
