,user,id,description,verified,created_at,location,favourites,retweets,entities
10,Youaremymelodyv,1415153833022423040,คุณบอกว่าคุณจะเลือกเสียงข้างมากแต่พอแบบนี้คุณบอกว่าใครเลือกอะไรก็ทำแบบนั้นไปเลย สรุปแล้วเสียงข้างมากคืออะไรหรอ พอเราบอกว่าทำอีกแบบเพราะมันสะดวกกับครูในการจัดมากกว่า ครูกับพูดมาว่ารู้เลยว่าเราเป็นคนยังไง สรุปแล้วเราเป็นคนยังไงอะ #การศึกษาไทย,False,2021-07-14 03:39:00,,0,0,"{'hashtags': [{'text': 'การศึกษาไทย', 'indices': [228, 240]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
11,nongmeimeim,1415154340394790916,มึงกูว่าการพักการศึกษานี้ไปเลยมันโอเคมากเลยนะ กูไม่อยากเรียนในสภาพแวดล้อมที่มันไม่พร้อมอะ #การศึกษาไทย,False,2021-07-14 03:41:01,,0,1,"{'hashtags': [{'text': 'การศึกษาไทย', 'indices': [90, 102]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
12,Kom_chad_luek,1415160877376884737,"“สังคมสูงอายุ” อย่างสมบูรณ์ในอีก 2 ปี ม.มหิดลแนะไทยรับมืออย่างมีสติ
#สังคมสูงอายุ #ThailandFuture #การศึกษา #คมชัดลึก #TwitterThailand

https://t.co/fS4zETT1fJ",True,2021-07-14 04:07:00,"Bangkok, Thailand",6,1,"{'hashtags': [{'text': 'สังคมสูงอายุ', 'indices': [68, 81]}, {'text': 'ThailandFuture', 'indices': [82, 97]}, {'text': 'การศึกษา', 'indices': [98, 107]}, {'text': 'คมชัดลึก', 'indices': [108, 117]}, {'text': 'TwitterThailand', 'indices': [118, 134]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/fS4zETT1fJ', 'expanded_url': 'https://www.komchadluek.net/news/edu-health/474250?twitter=', 'display_url': 'komchadluek.net/news/edu-healt…', 'indices': [136, 159]}]}"
13,nnaqrvn,1415162015388106752,"สอนเลยเวลาตลอด เรียนเเล้วเรียนอีก
เเบบบเห้อ
#การศึกษาไทย",False,2021-07-14 04:11:31,,0,0,"{'hashtags': [{'text': 'การศึกษาไทย', 'indices': [44, 56]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
14,0COxdHYLaiujGjB,1415167658480193538,คือแบบรร.อื่นเข้างดสั่งการบ้านเพื่อให้นร.ไม่เครียดจดเกินไป แต่รร.เรายังสั่งเหมือนเดิมหนักเหมือนเดิมบางวิชาเท่านั้นนะคะเรียนวัน1ก็8-9ชม.แล้วสั่งงานทค.คิดว่านร.ตัวคนเดียวทำไหวหรอคะนั่งทำงานจนดึกๆแล้วต้องตื่นเช้ามานั่งเรียนบ้างทีหัวสมองเด็กก็รับไม่ไหวนะคะ #ความล้มเหลวของการศึกษาไทย,False,2021-07-14 04:33:56,,0,0,"{'hashtags': [{'text': 'ความล้มเหลวของการศึกษาไทย', 'indices': [253, 279]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
15,ZjakLl,1415168655780761602,ระบบห่วยๆกับบุคลากรห่วยๆกูเรียนวันละ7-8ชม.ทำการบ้านต่ออีกหลายชม.จนโทรศัพท์พัง เลยขอตามงานส่งแต่ส่งได้ไม่ตรงเวลาเพราะผู้ปกครองทำงาน กลับได้คำตอบมาว่า:มันคือปัญหาของคุณขาดเรียนก็หมดสิทธิสอบ ฮัลโหลพวกคุณคิดอะไรอยู่คุณสอนโดยใช้อุปกรณ์ของโรงเรียนแต่เราใช้โทรศัพท์ตัวเองน่ะ #การศึกษาไทย,False,2021-07-14 04:37:54,,1,1,"{'hashtags': [{'text': 'การศึกษาไทย', 'indices': [268, 280]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
16,jdlnsr_r,1415169130500481024,ห้ะ..อะไรนะ #การศึกษาไทย https://t.co/cq8nh653rX,False,2021-07-14 04:39:47,,0,0,"{'hashtags': [{'text': 'การศึกษาไทย', 'indices': [12, 24]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1415169125874208773, 'id_str': '1415169125874208773', 'indices': [25, 48], 'media_url': 'http://pbs.twimg.com/media/E6Ow0nTVEAUkKYp.jpg', 'media_url_https': 'https://pbs.twimg.com/media/E6Ow0nTVEAUkKYp.jpg', 'url': 'https://t.co/cq8nh653rX', 'display_url': 'pic.twitter.com/cq8nh653rX', 'expanded_url': 'https://twitter.com/jdlnsr_r/status/1415169130500481024/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 119, 'resize': 'fit'}, 'thumb': {'w': 145, 'h': 145, 'resize': 'crop'}, 'medium': {'w': 828, 'h': 145, 'resize': 'fit'}, 'large': {'w': 828, 'h': 145, 'resize': 'fit'}}}]}"
17,kuyjessir,1415169203477221380,"#การศึกษาไทย อาจารย์ช่วยส่งลิ้งค์ zoom หรือ google meet มาหน่อยจึงจะสามราถเข้าเรียนได้ครับขอความกรุณาคุณครูทึกท่านสักหน่อยน่ะครับ 🙇‍♂️🙏
เรื่องที่ 2 คือ
: เพื่อนบางคนฐานะทางบ้านค่อนค้างยากจนจึงไม่มีเงินซื้อโทรศัพท์ดีๆใช้แต่ทางคุณครูก็ยังมาด่าและมาว่าว่าไม่ยอมเข้าเรียนเพื่อนของผมจึง https://t.co/komOky2CEd",False,2021-07-14 04:40:05,,2,2,"{'hashtags': [{'text': 'การศึกษาไทย', 'indices': [0, 12]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1415169201291993092, 'id_str': '1415169201291993092', 'indices': [282, 305], 'media_url': 'http://pbs.twimg.com/media/E6Ow5AQVIAQIaNo.jpg', 'media_url_https': 'https://pbs.twimg.com/media/E6Ow5AQVIAQIaNo.jpg', 'url': 'https://t.co/komOky2CEd', 'display_url': 'pic.twitter.com/komOky2CEd', 'expanded_url': 'https://twitter.com/kuyjessir/status/1415169203477221380/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 589, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 334, 'h': 680, 'resize': 'fit'}, 'large': {'w': 720, 'h': 1466, 'resize': 'fit'}}}]}"
18,kuyjessir,1415169220904591363,"#การศึกษาไทย พูดว่าทำไมไม่ซื้อโทรศัพท์ให้พวกผมล่ะครับและโดนคุณครูด่าว่าปากดีมันมีเหตุผลอยู่น่ะครับเหตุผลคือเรื่องนี้คือเรื่องที่ 3 และเรื่องที่ 4 
เรื่องที่ 3 คือ
: เรื่องปัจจัยทุนยากจนก่อนหน้านี้คุณครูท่านนี้ได้ยื่นคำฟ้องร้องต่อผู้อำนวยการว่าข้อเรื่องเปลี่ยนปัจจัยทุนยากจน (ต่อ) https://t.co/YSWkMXLc0S",False,2021-07-14 04:40:09,,2,2,"{'hashtags': [{'text': 'การศึกษาไทย', 'indices': [0, 12]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1415169207625424905, 'id_str': '1415169207625424905', 'indices': [280, 303], 'media_url': 'http://pbs.twimg.com/media/E6Ow5X2VoAkvthj.jpg', 'media_url_https': 'https://pbs.twimg.com/media/E6Ow5X2VoAkvthj.jpg', 'url': 'https://t.co/YSWkMXLc0S', 'display_url': 'pic.twitter.com/YSWkMXLc0S', 'expanded_url': 'https://twitter.com/kuyjessir/status/1415169220904591363/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 719, 'h': 1172, 'resize': 'fit'}, 'large': {'w': 719, 'h': 1172, 'resize': 'fit'}, 'small': {'w': 417, 'h': 680, 'resize': 'fit'}}}]}"
19,kuyjessir,1415169241150640128,"#การศึกษาไทย (เปลี่ยนไปให้นักเรียนที่เรียนดี)ด้วยเหตุผลที่ว่านักเรียนยากจนไม่สามารถมารับเงินได้เพราะทางครอบครัวไม่ว่างคุณครูท่านนี้ได้ด่าและว่าเด็กที่ได้รับทุนอย่างหนักว่า ""เธอไม่มารับทุนแล้สครูจะถ่ายรูปที่ไหนไปส่งเขต"" และหลังจากนั้นก็ได้เปลี่ยนทุนของนักเรียนยากจนไป https://t.co/QOdCwZKZmQ",False,2021-07-14 04:40:14,,2,3,"{'hashtags': [{'text': 'การศึกษาไทย', 'indices': [0, 12]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1415169225614708740, 'id_str': '1415169225614708740', 'indices': [267, 290], 'media_url': 'http://pbs.twimg.com/media/E6Ow6a3UUAQe9MZ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/E6Ow6a3UUAQe9MZ.jpg', 'url': 'https://t.co/QOdCwZKZmQ', 'display_url': 'pic.twitter.com/QOdCwZKZmQ', 'expanded_url': 'https://twitter.com/kuyjessir/status/1415169241150640128/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 720, 'h': 1600, 'resize': 'fit'}, 'small': {'w': 306, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 540, 'h': 1200, 'resize': 'fit'}}}]}"
20,kuyjessir,1415169244065456133,"เรื่องที่ 4 คือ
: การเหยียดนักเรียนยากจนครับมีเพื่อนผมคนนึงไม่สามารถมาเข้าเรียนได้เนื่องจากโทรศัพท์ที่เค้าใช้นั้นเป็นโทรศัพท์รุ่นเก่า (samsung galaxy J5 &amp; vivo)คุณครูท่านนี้ก็บ่นว่าแล้วทำไมถึงไม่ทำงานเพื่อนผมนั้นต้องทำงายหาเงินช่วยครอบครัวด้วยจึงมรเวลาทำการบ้าน #การศึกษาไทย (ต่อ)",False,2021-07-14 04:40:15,,1,1,"{'hashtags': [{'text': 'การศึกษาไทย', 'indices': [266, 278]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
21,s_bemyself,1415169249559990275,"อห.เรียนออนไลน์ก็แทบจะบ้าตายอยู่แล้ว ยังมาเจอครูแบบนี้ ประสาทแดก×2  
#การศึกษาไทย",False,2021-07-14 04:40:16,,1,1,"{'hashtags': [{'text': 'การศึกษาไทย', 'indices': [69, 81]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
22,Saipran47904997,1415170937607966723,ฉันผิดอะไร #การศึกษาไทย  #มหาลัยรัฐบาล #อาจารย์สลิ่ม #การศึกษาฆ่าฉัน #นะจ๊ะพ่องมึงสิ #บูด #ตรรกะป่วย #ระบบบูด #เรียนออนไลน์เราจะตายกันหมด https://t.co/3Gs30AIz74,False,2021-07-14 04:46:58,,3,1,"{'hashtags': [{'text': 'การศึกษาไทย', 'indices': [11, 23]}, {'text': 'มหาลัยรัฐบาล', 'indices': [25, 38]}, {'text': 'อาจารย์สลิ่ม', 'indices': [39, 52]}, {'text': 'การศึกษาฆ่าฉัน', 'indices': [53, 68]}, {'text': 'นะจ๊ะพ่องมึงสิ', 'indices': [69, 84]}, {'text': 'บูด', 'indices': [85, 89]}, {'text': 'ตรรกะป่วย', 'indices': [90, 100]}, {'text': 'ระบบบูด', 'indices': [101, 109]}, {'text': 'เรียนออนไลน์เราจะตายกันหมด', 'indices': [110, 137]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1415170918733598723, 'id_str': '1415170918733598723', 'indices': [138, 161], 'media_url': 'http://pbs.twimg.com/media/E6Oyc-OUUAMehjq.jpg', 'media_url_https': 'https://pbs.twimg.com/media/E6Oyc-OUUAMehjq.jpg', 'url': 'https://t.co/3Gs30AIz74', 'display_url': 'pic.twitter.com/3Gs30AIz74', 'expanded_url': 'https://twitter.com/Saipran47904997/status/1415170937607966723/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 750, 'h': 1334, 'resize': 'fit'}, 'small': {'w': 382, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 675, 'h': 1200, 'resize': 'fit'}}}]}"
23,Yoongi45054180,1415171544041463812,"#การศึกษาไทย แม่งแย่เหี้ยๆ สั่งงานเยอะ
ชิบหายกูไม่มีเวลาทำในสิ่งที่กูอยากทำเลยต้องมานั้งทำงานสอนไม่รู้เรื่องสั่งแต่งาน
กลัวผอ.ไม่รู้ว่าตัวเองสอนอิเหี้ย",False,2021-07-14 04:49:23,,0,1,"{'hashtags': [{'text': 'การศึกษาไทย', 'indices': [0, 12]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
24,kuyjessir,1415173652757159936,"แค่ช่วงเย็นและอาจส่งล่าช้ากว่านักเรียนคนอื่นจึงได้โดนคุณครูด่าว่า ""พ่อแม่เธอไม่ทีโทรศัพท์หรือไง"" ซึ่งค่อนข้างเป็นการเหยียดเนื่องจากคุณครูตัดทุนปัจจัยยากจนของนักเรียนไปเด็กคนนั้นและนักเรียนทุนคนอื่นๆจึงลำบากพอสมควรครับ #การศึกษาไทย https://t.co/CPaBxj8P5W",False,2021-07-14 04:57:46,,2,2,"{'hashtags': [{'text': 'การศึกษาไทย', 'indices': [218, 230]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1415173649791733760, 'id_str': '1415173649791733760', 'indices': [231, 254], 'media_url': 'http://pbs.twimg.com/media/E6O078NUUAAZmPz.jpg', 'media_url_https': 'https://pbs.twimg.com/media/E6O078NUUAAZmPz.jpg', 'url': 'https://t.co/CPaBxj8P5W', 'display_url': 'pic.twitter.com/CPaBxj8P5W', 'expanded_url': 'https://twitter.com/kuyjessir/status/1415173652757159936/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 540, 'h': 1200, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 720, 'h': 1600, 'resize': 'fit'}, 'small': {'w': 306, 'h': 680, 'resize': 'fit'}}}]}"
25,kuyjessir,1415173670247440384,"เพราะสะดวกต่อการเดินทางไปไหนมาไหนและค่อนข้างคุ้มค่ากับราคาอยู่ใช้ได้นานและจำเป็นจริงๆน่ะครับแต่กลับโดนคุณครูท่านนี้ด่า

[ทุกคนคิดเห็นอย่างไรบ้างครับกับเหตุการนี้ถ้าหากผมพิมพ์ผิดหรือตกหล่นข้อมูลประการใดไปสามารถแจ้งข้อมูลเพิ่มเติมมาได้น่ะครับ]
#การศึกษาไทย https://t.co/yNaUgsymMZ",False,2021-07-14 04:57:50,,3,2,"{'hashtags': [{'text': 'การศึกษาไทย', 'indices': [242, 254]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1415173660596334592, 'id_str': '1415173660596334592', 'indices': [255, 278], 'media_url': 'http://pbs.twimg.com/media/E6O08kdVcAAm1WP.jpg', 'media_url_https': 'https://pbs.twimg.com/media/E6O08kdVcAAm1WP.jpg', 'url': 'https://t.co/yNaUgsymMZ', 'display_url': 'pic.twitter.com/yNaUgsymMZ', 'expanded_url': 'https://twitter.com/kuyjessir/status/1415173670247440384/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 306, 'h': 680, 'resize': 'fit'}, 'large': {'w': 720, 'h': 1600, 'resize': 'fit'}, 'medium': {'w': 540, 'h': 1200, 'resize': 'fit'}}}]}"
26,PateadH,1415175321259692032,"#ออนไลน์2021
การสอนที่ดี คือ
อย่ามานั่งอ่านสไลด์ ให้นักเรียนฟังโน๊ะ
#การศึกษาฆ่าฉัน #การศึกษาไทย #การศึกษาไทยส้นตีน #mpnfacts",False,2021-07-14 05:04:23,,14,14,"{'hashtags': [{'text': 'ออนไลน์2021', 'indices': [0, 12]}, {'text': 'การศึกษาฆ่าฉัน', 'indices': [68, 83]}, {'text': 'การศึกษาไทย', 'indices': [84, 96]}, {'text': 'การศึกษาไทยส้นตีน', 'indices': [97, 115]}, {'text': 'mpnfacts', 'indices': [116, 125]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
27,jee_jrn,1415180033061056514,นี่คือแบบครูหลายๆคนบอกสู้ๆนะคะนักเรียนครูเป็นห่วงนะคะแต่คือสั่งงานกันไม่หยุดเลยอ่ะประเด็นคือแบบจะให้เราลอกในหนังสือมาใส่ในสมุดไว้เพื่ออะไรทั้งๆที่มันไม่จำเป็นด้วยซ้ำไม่งั้นจะมีหนังสือไว้ทำไมอยากจะรู้ #การศึกษาไทย,False,2021-07-14 05:23:07,,1,0,"{'hashtags': [{'text': 'การศึกษาไทย', 'indices': [200, 212]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
28,ambKrgwIMgxMVXA,1415182052547170304,วิชาสุขศึกษาล่าสุดครูบอกว่าอย่าเเต่งตัวล่อแหลมมันทำให้เพศตรงข้ามเกิดอารมณ์นี่ครูหรอค้าานี่มันเป็นเพราะผชรึป่าวอ่าาาาา #การศึกษาไทย,False,2021-07-14 05:31:08,,0,0,"{'hashtags': [{'text': 'การศึกษาไทย', 'indices': [118, 130]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
29,followpomnoi,1415182613774405633,ฝากถึงคุณวรนุช เทียนทอง☺️😒#ตรีนุช #การศึกษาไทย #การศึกษาไทยส้นตีน https://t.co/LIigiw4q0I,False,2021-07-14 05:33:22,,0,2,"{'hashtags': [{'text': 'ตรีนุช', 'indices': [26, 33]}, {'text': 'การศึกษาไทย', 'indices': [34, 46]}, {'text': 'การศึกษาไทยส้นตีน', 'indices': [47, 65]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1415182607017340930, 'id_str': '1415182607017340930', 'indices': [66, 89], 'media_url': 'http://pbs.twimg.com/media/E6O9FUeUcAIZ6Sl.jpg', 'media_url_https': 'https://pbs.twimg.com/media/E6O9FUeUcAIZ6Sl.jpg', 'url': 'https://t.co/LIigiw4q0I', 'display_url': 'pic.twitter.com/LIigiw4q0I', 'expanded_url': 'https://twitter.com/xx69xx56/status/1415182613774405633/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 558, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 827, 'h': 1007, 'resize': 'fit'}, 'large': {'w': 827, 'h': 1007, 'resize': 'fit'}}}]}"
30,goout538,1415184718257999872,"กูไม่เข้าใจในระบบการศึกษาไทยเป็นอย่างมาก โดยเฉพาะวิชาภาษาอังกฤษเรื่องการใช้Grammar เรียนไปทำไมเยอะแยะ ใช้ในชีวิตจริงๆไม่ถึงครึ่งที่เรียนมาด้วยซ้ำ ขนาดเด็กที่เป็นเจ้าของภาษายังตกGrammarเลย แล้วเด็กไทยอย่างกูจะเหลือหรอ
#การศึกษาไทย #การศึกษาไทยส้นตีน",False,2021-07-14 05:41:44,,0,0,"{'hashtags': [{'text': 'การศึกษาไทย', 'indices': [217, 229]}, {'text': 'การศึกษาไทยส้นตีน', 'indices': [230, 248]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
31,Bird_ktp,1415185360137560067,บางทีก็รู้สึกว่าที่บ้าน ไม่ใช่ที่ๆคุยได้ทุกเรื่อง เบื่ออยากเล่าหรือคุยอะไรกับแม่ได้บ้าง เหมือนบ้านที่ยอมรับอื่น 😢#เหนื่อย #การศึกษา,False,2021-07-14 05:44:17,,0,0,"{'hashtags': [{'text': 'เหนื่อย', 'indices': [113, 121]}, {'text': 'การศึกษา', 'indices': [122, 131]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
